t,k2,k5,k8,pid
7.076495132,0.9625627956,1.253374101,1.292464878,1.035855143
7.109874826,0.9600727801,1.263897817,1.24745801,1.039870108
7.14325452,0.9576706164,1.273837458,1.20177099,1.043731191
7.176634214,0.9553564513,1.28317965,1.155529391,1.047435826
7.210013908,0.9531303532,1.291912248,1.10886031,1.050981752
7.243393602,0.9509923143,1.30002435,1.06189202,1.054367009
7.276773296,0.9489422519,1.307506308,1.014753616,1.057589933
7.31015299,0.9469800099,1.314349729,0.9675746607,1.060649152
7.343532684,0.9451053611,1.320547484,0.9204848287,1.063543584
7.376912378,0.9433180084,1.326093712,0.8736135487,1.066272429
7.410292072,0.9416175867,1.330983812,0.8270896493,1.068835166
7.443671766,0.940003665,1.33521445,0.781041004,1.071231545
7.47705146,0.9384757478,1.338783548,0.7355941803,1.073461585
7.510431154,0.9370332769,1.341690277,0.6908740915,1.075525565
7.543810848,0.9356756335,1.34393505,0.6470036532,1.077424018
7.577190542,0.9344021401,1.345519511,0.604103446,1.079157725
7.610570236,0.9332120619,1.346446516,0.5622913835,1.080727708
7.64394993,0.932104609,1.346720123,0.5216823888,1.082135222
7.677329624,0.9310789383,1.34634557,0.4823880778,1.083381751
7.710709318,0.9301341551,1.345329257,0.4445164535,1.084468994
7.744089013,0.9292693154,1.343678721,0.408171608,1.085398866
7.777468707,0.9284834272,1.341402616,0.3734534374,1.086173482
7.810848401,0.9277754528,1.338510684,0.3404573666,1.086795156
7.844228095,0.9271443108,1.335013729,0.3092740872,1.087266385
7.877607789,0.9265888774,1.330923586,0.2799893083,1.08758985
7.910987483,0.9261079888,1.32625309,0.2526835207,1.087768402
7.944367177,0.9257004427,1.321016047,0.2274317761,1.087805052
7.977746871,0.9253650006,1.315227193,0.2043034803,1.087702968
8.011126565,0.9251003891,1.308902164,0.1833622028,1.087465464
8.044506259,0.9249053021,1.302057456,0.1646655019,1.08709599
8.077885953,0.9247784024,1.294710391,0.1482647666,1.086598126
8.111265647,0.9247183239,1.286879069,0.1342050753,1.085975571
8.144645341,0.9247236729,1.278582338,0.1225250718,1.085232137
8.178025035,0.9247930301,1.269839742,0.1132568593,1.084371737
8.211404729,0.9249249524,1.260671488,0.1064259121,1.083398382
8.244784423,0.9251179747,1.251098395,0.1020510054,1.082316167
8.278164117,0.9253706113,1.241141855,0.1001441639,1.081129265
8.311543811,0.9256813582,1.230823783,0.1007106287,1.07984192
8.344923505,0.9260486941,1.220166577,0.1037488427,1.078458434
8.378303199,0.9264710825,1.20919307,0.1092504553,1.076983167
8.411682893,0.9269469732,1.197926481,0.117200345,1.075420519
8.445062587,0.927474804,1.186390372,0.1275766611,1.073774931
8.478442281,0.9280530022,1.1746086,0.1403508836,1.072050873
8.511821975,0.9286799862,1.162605269,0.1554879018,1.070252833
8.545201669,0.9293541671,1.150404683,0.1729461108,1.068385318
8.578581363,0.93007395,1.138031302,0.1926775256,1.066452838
8.611961057,0.9308377357,1.12550969,0.2146279134,1.064459905
8.645340751,0.9316439223,1.112864471,0.2387369421,1.062411023
8.678720445,0.9324909062,1.100120286,0.2649383468,1.060310679
8.712100139,0.9333770836,1.087301739,0.2931601113,1.058163341
8.745479833,0.9343008523,1.074433359,0.3233246664,1.055973451
8.778859527,0.9352606126,1.061539551,0.3553491032,1.053745413
8.812239221,0.9362547687,1.048644554,0.3891454006,1.051483593
8.845618915,0.9372817299,1.035772393,0.4246206674,1.049192311
8.878998609,0.9383399122,1.022946843,0.461677398,1.046875834
8.912378303,0.939427739,1.01019138,0.5002137396,1.044538373
8.945757997,0.9405436427,0.9975291442,0.5401237729,1.042184075
8.979137691,0.9416860657,0.9849828983,0.5812978028,1.03981702
9.012517385,0.9428534614,0.972574989,0.6236226601,1.037441215
9.045897079,0.9440442953,0.9603273086,0.6669820125,1.035060589
9.079276773,0.9452570463,0.9482612585,0.7112566843,1.032678991
9.112656467,0.9464902074,0.9363977133,0.7563249839,1.030300182
9.146036161,0.9477422867,0.9247569872,0.8020630385,1.027927836
9.179415855,0.9490118088,0.9133588004,0.8483451344,1.025565529
9.212795549,0.9502973149,0.902222248,0.8950440626,1.023216745
9.246175243,0.9515973645,0.8913657698,0.9420314682,1.020884864
9.279554937,0.9529105355,0.8808071219,0.9891782038,1.018573164
9.312934631,0.9542354258,0.8705633494,1.036354684,1.016284816
9.346314325,0.9555706532,0.8606507609,1.083431241,1.014022884
9.379694019,0.9569148568,0.851084905,1.130278482,1.011790319
9.413073713,0.9582666976,0.8418805474,1.176767645,1.00958996
9.446453408,0.9596248588,0.8330516509,1.222770952,1.00742453
9.479833102,0.9609880468,0.8246113562,1.26816196,1.005296637
9.513212796,0.9623549916,0.8165719644,1.31281591,1.003208769
9.54659249,0.9637244477,0.8089449219,1.356610066,1.001163295
9.579972184,0.9650951942,0.8017408065,1.399424059,0.9991624642
9.613351878,0.9664660355,0.794969315,1.441140212,0.997208404
9.646731572,0.9678358017,0.7886392533,1.481643865,0.9953031204
9.680111266,0.9692033494,0.7827585279,1.520823692,0.9934484969
9.71349096,0.9705675615,0.7773341385,1.558572004,0.991646295
9.746870654,0.9719273481,0.7723721735,1.594785049,0.9898981536
9.780250348,0.9732816466,0.7678778065,1.629363293,0.9882055896
9.813630042,0.9746294218,0.7638552947,1.662211694,0.9865699981
9.847009736,0.9759696669,0.7603079791,1.693239968,0.984992653
9.88038943,0.9773014029,0.757238286,1.722362832,0.9834747079
9.913769124,0.9786236793,0.7546477312,1.74950024,0.9820171969
9.947148818,0.9799355745,0.7525369245,1.774577602,0.9806210356
9.980528512,0.9812361951,0.7509055769,1.797525992,0.9792870225
10.01390821,0.9825246772,0.749752509,1.818282336,0.9780158405
10.0472879,0.9838001856,0.7490756609,1.836789583,0.976808058
10.08066759,0.9850619143,0.7488721042,1.852996865,0.9756641313
10.11404729,0.9863090865,0.7491380542,1.866859635,0.9745844058
10.14742698,0.9875409544,0.7498688856,1.878339792,0.9735691184
10.18080668,0.9887567996,0.7510591478,1.88740578,0.9726183993
10.21418637,0.9899559329,0.7527025822,1.894032681,0.9717322745
10.24756606,0.9911376942,0.7547921416,1.898202282,0.9709106678
10.28094576,0.9923014523,0.7573200098,1.899903121,0.9701534035
10.31432545,0.9934466053,0.7602776229,1.899130524,0.969460209
10.34770515,0.9945725798,0.7636556921,1.895886614,0.968830717
10.38108484,0.9956788315,0.7674442272,1.890180307,0.9682644687
10.41446453,0.9967648444,0.7716325613,1.882027288,0.9677609164
10.44784423,0.997830131,0.7762093769,1.871449966,0.9673194264
10.48122392,0.9988742321,0.7811627323,1.858477413,0.9669392819
10.51460362,0.9998967162,0.7864800899,1.843145284,0.9666196861
10.54798331,1.00089718,0.792148344,1.825495721,0.9663597651
10.581363,1.001875247,0.798153851,1.805577236,0.9661585713
10.6147427,1.002830568,0.8044824591,1.783444574,0.9660150863
10.64812239,1.003762822,0.8111195392,1.759158569,0.9659282244
10.68150209,1.004671713,0.8180500165,1.732785972,0.9658968355
10.71488178,1.005556973,0.8252584021,1.704399271,0.9659197086
10.74826147,1.006418357,0.8327288261,1.674076487,0.9659955748
10.78164117,1.007255648,0.8404450699,1.641900964,0.9661231111
10.81502086,1.008068655,0.8483905999,1.607961139,0.9663009433
10.84840056,1.008857209,0.8565486007,1.572350298,0.9665276494
10.88178025,1.009621168,0.8649020095,1.535166318,0.966801763
10.91515994,1.010360413,0.8734335492,1.496511403,0.9671217767
10.94853964,1.011074848,0.8821257632,1.456491797,0.9674861451
10.98191933,1.011764401,0.8909610492,1.415217497,0.9678932883
11.01529903,1.012429023,0.8999216932,1.372801947,0.9683415952
11.04867872,1.013068686,0.9089899035,1.329361729,0.9688294266
11.08205841,1.013683386,0.9181478447,1.285016241,0.9693551185
