t,before,after
27.12020033,0.5,0.9938252697
27.19532554,0.5,0.9938966124
27.27045075,0.5,0.9939671307
27.34557596,0.5,0.9940368343
27.42070117,0.5,0.9941057326
27.49582638,0.5,0.9941738348
27.57095159,0.5,0.9942411501
27.64607679,0.5,0.9943076877
27.721202,0.5,0.9943734565
27.79632721,0.5,0.9944384654
27.87145242,0.5,0.9945027232
27.94657763,0.5,0.9945662386
28.02170284,0.5,0.9946290201
28.09682805,0.5,0.9946910763
28.17195326,0.5,0.9947524154
28.24707846,0.5,0.9948130459
28.32220367,0.5,0.9948729758
28.39732888,0.5,0.9949322133
28.47245409,0.5,0.9949907663
28.5475793,0.5,0.9950486429
28.62270451,0.5,0.9951058507
28.69782972,0.5,0.9951623975
28.77295492,0.5,0.9952182911
28.84808013,0.5,0.9952735388
28.92320534,0.5,0.9953281482
28.99833055,0.5,0.9953821266
29.07345576,0.5,0.9954354814
29.14858097,0.5,0.9954882197
29.22370618,0.5,0.9955403487
29.29883139,0.5,0.9955918754
29.37395659,0.5,0.9956428067
29.4490818,0.5,0.9956931496
29.52420701,0.5,0.9957429108
29.59933222,0.5,0.9957920971
29.67445743,0.5,0.9958407151
29.74958264,0.5,0.9958887713
29.82470785,0.5,0.9959362724
29.89983306,0.5,0.9959832246
29.97495826,0.5,0.9960296343
30.05008347,0.5,0.9960755077
30.12520868,0.5,0.9961208512
30.20033389,0.5,0.9961656708
30.2754591,0.5,0.9962099725
30.35058431,0.5,0.9962537624
30.42570952,0.5,0.9962970463
30.50083472,0.5,0.9963398301
30.57595993,0.5,0.9963821196
30.65108514,0.5,0.9964239205
30.72621035,0.5,0.9964652384
30.80133556,0.5,0.9965060789
30.87646077,0.5,0.9965464476
30.95158598,0.5,0.9965863499
31.02671119,0.5,0.9966257911
31.10183639,0.5,0.9966647766
31.1769616,0.5,0.9967033117
31.25208681,0.5,0.9967414015
31.32721202,0.5,0.9967790512
31.40233723,0.5,0.996816266
31.47746244,0.5,0.9968530508
31.55258765,0.5,0.9968894105
31.62771285,0.5,0.9969253502
31.70283806,0.5,0.9969608746
31.77796327,0.5,0.9969959886
31.85308848,0.5,0.9970306968
31.92821369,0.5,0.9970650041
32.0033389,0.5,0.9970989149
32.07846411,0.5,0.997132434
32.15358932,0.5,0.9971655657
32.22871452,0.5,0.9971983147
32.30383973,0.5,0.9972306853
32.37896494,0.5,0.9972626819
32.45409015,0.5,0.9972943088
32.52921536,0.5,0.9973255703
32.60434057,0.5,0.9973564705
32.67946578,0.5,0.9973870138
32.75459098,0.5,0.9974172042
32.82971619,0.5,0.9974470457
32.9048414,0.5,0.9974765425
32.97996661,0.5,0.9975056984
33.05509182,0.5,0.9975345175
33.13021703,0.5,0.9975630036
33.20534224,0.5,0.9975911606
33.28046745,0.5,0.9976189923
33.35559265,0.5,0.9976465024
33.43071786,0.5,0.9976736946
33.50584307,0.5,0.9977005727
33.58096828,0.5,0.9977271402
33.65609349,0.5,0.9977534007
33.7312187,0.5,0.9977793579
33.80634391,0.5,0.9978050151
33.88146912,0.5,0.9978303759
33.95659432,0.5,0.9978554437
34.03171953,0.5,0.9978802218
34.10684474,0.5,0.9979047137
34.18196995,0.5,0.9979289226
34.25709516,0.5,0.9979528517
34.33222037,0.5,0.9979765044
34.40734558,0.5,0.9979998838
34.48247078,0.5,0.9980229931
34.55759599,0.5,0.9980458354
34.6327212,0.5,0.9980684137
34.70784641,0.5,0.9980907312
34.78297162,0.5,0.9981127909
34.85809683,0.5,0.9981345956
34.93322204,0.5,0.9981561485
35.00834725,0.5,0.9981774523
35.08347245,0.5,0.9981985099
35.15859766,0.5,0.9982193243
35.23372287,0.5,0.9982398982
35.30884808,0.5,0.9982602343
35.38397329,0.5,0.9982803355
35.4590985,0.5,0.9983002045
35.53422371,0.5,0.9983198439
35.60934891,0.5,0.9983392563
35.68447412,0.5,0.9983584445
35.75959933,0.5,0.998377411
35.83472454,0.5,0.9983961584
35.90984975,0.5,0.9984146891
35.98497496,0.5,0.9984330057
36.06010017,0.5,0.9984511107
36.13522538,0.5,0.9984690066
36.21035058,0.5,0.9984866956
36.28547579,0.5,0.9985041803
