t,psi_ref,psi,psi_meas,x,y,cmd,delta
7.8,0.051401333,0.011848623,0.0030482112,24.96,0.0012895059,0.08237549,0.049963719
7.85,0.052228565,0.012091607,0.0031396418,25.12,0.001323272,0.083548955,0.050663411
7.9,0.05306908,0.012338385,0.0032329594,25.28,0.0013577273,0.084741424,0.05137337
7.95,0.053923092,0.012589006,0.0033281879,25.44,0.0013928824,0.085953238,0.052093784
8,0.054790815,0.012843521,0.0034253516,25.6,0.0014287483,0.087184742,0.052824846
8.05,0.055672468,0.01310198,0.0035244747,25.76,0.0014653359,0.088436289,0.053566751
8.1,0.056568276,0.013364438,0.0036255819,25.92,0.0015026565,0.089708235,0.054319698
8.15,0.057478462,0.013630945,0.0037286981,26.08,0.0015407213,0.091000942,0.055083891
8.2,0.058403258,0.013901556,0.0038338483,26.24,0.0015795417,0.092314779,0.055859534
8.25,0.059342897,0.014176327,0.003941058,26.4,0.0016191295,0.093650121,0.056646838
8.3,0.060297615,0.014455312,0.0040503529,26.56,0.0016594964,0.095007345,0.057446015
8.35,0.061267654,0.014738568,0.0041617589,26.72,0.0017006542,0.096386839,0.058257283
8.4,0.062253257,0.015026153,0.0042753021,26.88,0.0017426151,0.097788994,0.05908086
8.45,0.063254674,0.015318124,0.0043910091,27.04,0.0017853914,0.099214208,0.059916971
8.5,0.064272156,0.015614542,0.0045089067,27.2,0.0018289954,0.10066288,0.060765844
8.55,0.065305961,0.015915466,0.004629022,27.36,0.0018734398,0.10213543,0.061627711
8.6,0.066356348,0.016220959,0.0047513824,27.52,0.0019187373,0.10363227,0.062502806
8.65,0.067423582,0.016531081,0.0048760156,27.68,0.0019649008,0.10515382,0.063391369
8.7,0.068507931,0.016845898,0.0050029497,27.84,0.0020119434,0.10670051,0.064293642
8.75,0.069609669,0.017165472,0.005132213,28,0.0020598784,0.10827277,0.065209874
8.8,0.070729073,0.01748987,0.0052638344,28.16,0.0021087193,0.10987106,0.066140316
8.85,0.071866424,0.017819159,0.0053978428,28.32,0.0021584798,0.11149582,0.067085222
8.9,0.073022008,0.018153405,0.0055342677,28.48,0.0022091737,0.1131475,0.068044853
8.95,0.074196116,0.018492679,0.0056731389,28.64,0.002260815,0.11482657,0.069019472
9,0.075389042,0.018837049,0.0058144865,28.8,0.002313418,0.11653349,0.070009347
9.05,0.076601087,0.019186587,0.005958341,28.96,0.002366997,0.11826876,0.071014752
9.1,0.077832555,0.019541366,0.0061047335,29.12,0.0024215668,0.12003284,0.072035962
9.15,0.079083756,0.019901458,0.0062536953,29.28,0.0024771422,0.12182624,0.073073259
9.2,0.080355002,0.02026694,0.006405258,29.44,0.0025337381,0.12364946,0.07412693
9.25,0.081646613,0.020637887,0.0065594538,29.6,0.00259137,0.12550299,0.075197265
9.3,0.082958914,0.021014376,0.0067163153,29.76,0.0026500532,0.12738735,0.076284558
9.35,0.084292233,0.021396486,0.0068758755,29.92,0.0027098034,0.12930308,0.077389111
9.4,0.085646904,0.021784297,0.0070381679,30.08,0.0027706367,0.13125069,0.078511227
9.45,0.087023267,0.022177891,0.0072032263,30.24,0.002832569,0.13323073,0.079651217
9.5,0.088421666,0.022577351,0.0073710852,30.4,0.0028956169,0.13524374,0.080809394
9.55,0.089842453,0.02298276,0.0075417793,30.56,0.0029597969,0.13729028,0.081986079
9.6,0.091285982,0.023394204,0.0077153441,30.72,0.0030251258,0.13937092,0.083181597
9.65,0.092752614,0.023811771,0.0078918152,30.88,0.0030916208,0.14148621,0.084396276
9.7,0.094242718,0.024235549,0.0080712292,31.04,0.0031592992,0.14363675,0.085630453
9.75,0.095756664,0.024665628,0.0082536227,31.2,0.0032281787,0.14582312,0.086884467
9.8,0.097294832,0.025102099,0.0084390331,31.36,0.0032982769,0.14804592,0.088158664
