t,r,y,ym,yf,feedback,e,u,delta
3.26,0.15,0.10643331,0.21157952,0.093498438,0.093498438,0.056501562,0.12147836,0.12248396
3.28,0.15,0.10663195,0.18561028,0.09684796,0.09684796,0.05315204,0.11427689,0.12182739
3.3,0.15,0.10682034,0.095382455,0.096794669,0.096794669,0.053205331,0.11439146,0.12123252
3.32,0.15,0.1069986,0.10475127,0.097083999,0.097083999,0.052916001,0.1137694,0.12063547
3.34,0.15,0.10717262,0.033286122,0.094764077,0.094764077,0.055235923,0.11875724,0.12048521
3.36,0.15,0.10734252,0.095945796,0.094807048,0.094807048,0.055192952,0.11866485,0.12033958
3.38,0.15,0.10750288,0.16431949,0.097334773,0.097334773,0.052665227,0.11323024,0.11977083
3.4,0.15,0.10766042,0.023031308,0.094632829,0.094632829,0.055367171,0.11903942,0.11971232
3.42,0.15,0.10781485,0.099413506,0.094806672,0.094806672,0.055193328,0.11866566,0.11962859
3.44,0.15,0.10796495,0.11142086,0.095410824,0.095410824,0.054589176,0.11736673,0.11944764
3.46,0.15,0.10811437,0.05322114,0.093876654,0.093876654,0.056123346,0.12066519,0.11954504
3.48,0.15,0.10825783,0.15821644,0.096216283,0.096216283,0.053783717,0.11563499,0.11923224
3.5,0.15,0.10840068,0.034719863,0.093980049,0.093980049,0.056019951,0.12044289,0.11932909
3.52,0.15,0.10854158,0.10972821,0.09455271,0.09455271,0.05544729,0.11921167,0.1193197
3.54,0.15,0.10868015,0.099326448,0.0947263,0.0947263,0.0552737,0.11883845,0.1192812
3.56,0.15,0.10881983,0.053251813,0.093218137,0.093218137,0.056781863,0.12208101,0.11950518
3.58,0.15,0.10896635,0.019059123,0.090521446,0.090521446,0.059478554,0.12787889,0.12017508
3.6,0.15,0.10911919,0.087317902,0.090404953,0.090404953,0.059595047,0.12812935,0.12081142
3.62,0.15,0.10927353,0.14100428,0.092244929,0.092244929,0.057755071,0.1241734,0.12108038
3.64,0.15,0.10943306,0.04279547,0.090446767,0.090446767,0.059553233,0.12803945,0.12163711
3.66,0.15,0.10959663,0.096724406,0.090675044,0.090675044,0.059324956,0.12754865,0.12211003
3.68,0.15,0.1097603,0.13284836,0.092208619,0.092208619,0.057791381,0.12425147,0.12228134
3.7,0.15,0.10992197,0.11606942,0.093076285,0.093076285,0.056923715,0.12238599,0.12228972
3.72,0.15,0.11008022,0.11084913,0.09372257,0.09372257,0.05627743,0.12099647,0.12218626
3.74,0.15,0.11024064,0.02630243,0.091270929,0.091270929,0.058729071,0.1262675,0.12251276
3.76,0.15,0.11040756,0.033123478,0.089156476,0.089156476,0.060843524,0.13081358,0.12317682
3.78,0.15,0.11057546,0.14799538,0.091296073,0.091296073,0.058703927,0.12621344,0.12341975
3.8,0.15,0.11074842,0.037474803,0.089338936,0.089338936,0.060661064,0.13042129,0.12397987
3.82,0.15,0.110919,0.17353609,0.09240065,0.09240065,0.05759935,0.1238386,0.12396857
3.84,0.15,0.11108659,0.10061529,0.092699364,0.092699364,0.057300636,0.12319637,0.1239068
3.86,0.15,0.11124893,0.12176976,0.09375647,0.09375647,0.05624353,0.12092359,0.12366814
3.88,0.15,0.11141312,0.00979335,0.090703265,0.090703265,0.059296735,0.12748798,0.12397373
3.9,0.15,0.11157334,0.15864106,0.09317373,0.09317373,0.05682627,0.12217648,0.12382995
3.92,0.15,0.11173314,0.051582363,0.091661317,0.091661317,0.058338683,0.12542817,0.1239578
3.94,0.15,0.11189984,-0.00060971665,0.088306007,0.088306007,0.061693993,0.13264209,0.12465255
3.96,0.15,0.11207014,0.11930148,0.089433115,0.089433115,0.060566885,0.1302188,0.12509785
3.98,0.15,0.11223775,0.16091952,0.092032621,0.092032621,0.057967379,0.12462987,0.12506041
4,0.72,0.11366814,0.087786688,0.091878223,0.091878223,0.62812178,1.3504618,0.22309252
4.02,0.72,0.1162375,0.16999095,0.094718686,0.094718686,0.62528131,1.3443548,0.31279351
4.04,0.72,0.1198305,0.19431823,0.098340487,0.098340487,0.62165951,1.336568,0.39469546
