t,delta,psi,x,y,R,delta_needed
18.78,18,32.665255,71.919542,16.760228,65,27.613028
18.84,18,32.796666,72.121286,16.890226,65,27.613028
18.9,18,32.928077,72.32273,17.020687,65,27.613028
18.96,18,33.059487,72.523876,17.151609,65,27.613028
19.02,18,33.190898,72.72472,17.282992,65,27.613028
19.08,18,33.322309,72.925262,17.414836,65,27.613028
19.14,18,33.45372,73.125502,17.547139,65,27.613028
19.2,18,33.58513,73.325437,17.679901,65,27.613028
19.26,18,33.716541,73.525068,17.813121,65,27.613028
19.32,18,33.847952,73.724392,17.946799,65,27.613028
19.38,18,33.979363,73.92341,18.080934,65,27.613028
19.44,18,34.110774,74.122119,18.215525,65,27.613028
19.5,18,34.242184,74.320519,18.350571,65,27.613028
19.56,18,34.373595,74.518609,18.486071,65,27.613028
19.62,18,34.505006,74.716387,18.622026,65,27.613028
19.68,18,34.636417,74.913853,18.758434,65,27.613028
19.74,18,34.767828,75.111006,18.895295,65,27.613028
19.8,18,34.899238,75.307844,19.032607,65,27.613028
19.86,18,35.030649,75.504367,19.170371,65,27.613028
19.92,18,35.16206,75.700573,19.308585,65,27.613028
19.98,18,35.293471,75.896462,19.447248,65,27.613028
20.04,18,35.424881,76.092032,19.586361,65,27.613028
20.1,18,35.556292,76.287283,19.725921,65,27.613028
20.16,18,35.687703,76.482213,19.865929,65,27.613028
20.22,18,35.819114,76.676822,20.006384,65,27.613028
20.28,18,35.950525,76.871107,20.147285,65,27.613028
20.34,18,36.081935,77.06507,20.288631,65,27.613028
20.4,18,36.213346,77.258707,20.430421,65,27.613028
20.46,18,36.344757,77.452019,20.572655,65,27.613028
20.52,18,36.476168,77.645004,20.715333,65,27.613028
20.58,18,36.607578,77.837661,20.858452,65,27.613028
20.64,18,36.738989,78.02999,21.002013,65,27.613028
20.7,18,36.8704,78.221988,21.146015,65,27.613028
20.76,18,37.001811,78.413656,21.290456,65,27.613028
20.82,18,37.133222,78.604992,21.435337,65,27.613028
20.88,18,37.264632,78.795996,21.580657,65,27.613028
20.94,18,37.396043,78.986665,21.726414,65,27.613028
21,18,37.527454,79.177,21.872608,65,27.613028
21.06,18,37.658865,79.366999,22.019238,65,27.613028
21.12,18,37.790275,79.556661,22.166303,65,27.613028
21.18,18,37.921686,79.745986,22.313803,65,27.613028
21.24,18,38.053097,79.934971,22.461737,65,27.613028
21.3,18,38.184508,80.123617,22.610104,65,27.613028
21.36,18,38.315919,80.311922,22.758904,65,27.613028
21.42,18,38.447329,80.499885,22.908134,65,27.613028
21.48,18,38.57874,80.687506,23.057796,65,27.613028
21.54,18,38.710151,80.874782,23.207887,65,27.613028
21.6,18,38.841562,81.061714,23.358408,65,27.613028
21.66,18,38.972973,81.248301,23.509357,65,27.613028
21.72,18,39.104383,81.43454,23.660733,65,27.613028
21.78,18,39.235794,81.620432,23.812536,65,27.613028
21.84,18,39.367205,81.805975,23.964765,65,27.613028
21.9,18,39.498616,81.991169,24.11742,65,27.613028
21.96,18,39.630026,82.176012,24.270498,65,27.613028
