t,x,y,psi_ref,u,delta
29.36,132.12,7.7315466,15.552956,13.388472,13.388472
29.44,132.48,7.8321372,15.669155,13.377847,13.377847
29.52,132.84,7.9335113,15.784131,13.363157,13.363157
29.6,133.2,8.0356613,15.897833,13.344343,13.344343
29.68,133.56,8.1385792,16.010208,13.321352,13.321352
29.76,133.92,8.2422568,16.121204,13.294129,13.294129
29.84,134.28,8.3466852,16.230769,13.262626,13.262626
29.92,134.64,8.4518555,16.33885,13.226793,13.226793
30,135,8.557758,16.445395,13.186584,13.186584
30.08,135.36,8.664383,16.550354,13.141955,13.141955
30.16,135.72,8.7717202,16.653674,13.092867,13.092867
30.24,136.08,8.879759,16.755304,13.03928,13.03928
30.32,136.44,8.9884883,16.855194,12.981158,12.981158
30.4,136.8,9.0978968,16.953294,12.918469,12.918469
30.48,137.16,9.2079728,17.049554,12.851182,12.851182
30.56,137.52,9.318704,17.143925,12.779271,12.779271
30.64,137.88,9.4300781,17.236358,12.70271,12.70271
30.72,138.24,9.542082,17.326805,12.621477,12.621477
30.8,138.6,9.6547027,17.415219,12.535556,12.535556
30.88,138.96,9.7679264,17.501553,12.444929,12.444929
30.96,139.32,9.8817392,17.585762,12.349586,12.349586
31.04,139.68,9.9961269,17.667799,12.249516,12.249516
31.12,140.04,10.111075,17.747622,12.144714,12.144714
31.2,140.4,10.226568,17.825185,12.035177,12.035177
31.28,140.76,10.342591,17.900447,11.920906,11.920906
31.36,141.12,10.459128,17.973366,11.801904,11.801904
31.44,141.48,10.576163,18.0439,11.678179,11.678179
31.52,141.84,10.69368,18.112011,11.549742,11.549742
31.6,142.2,10.811662,18.17766,11.416605,11.416605
31.68,142.56,10.930093,18.240808,11.278787,11.278787
31.76,142.92,11.048955,18.30142,11.136307,11.136307
31.84,143.28,11.16823,18.359459,10.989191,10.989191
31.92,143.64,11.287901,18.414893,10.837464,10.837464
32,144,11.40795,18.467686,10.681159,10.681159
32.08,144.36,11.528358,18.517809,10.520308,10.520308
32.16,144.72,11.649107,18.565229,10.354949,10.354949
32.24,145.08,11.770179,18.609919,10.185123,10.185123
32.32,145.44,11.891553,18.651849,10.010874,10.010874
32.4,145.8,12.013211,18.690993,9.8322487,9.8322487
32.48,146.16,12.135133,18.727325,9.6492985,9.6492985
32.56,146.52,12.2573,18.760822,9.4620767,9.4620767
32.64,146.88,12.379692,18.791461,9.2706404,9.2706404
