w,mag_before,phase_before,mag_after,phase_after
12.05439962,-21.65269707,-85.25775761,-19.76635263,-86.20829061
12.39021262,-21.88977304,-85.38572432,-20.00349251,-86.31049947
12.73538074,-22.12693336,-85.51026703,-20.24071332,-86.40998211
13.0901646,-22.36417358,-85.63147508,-20.4780108,-86.50680895
13.45483207,-22.60148948,-85.74943564,-20.7153809,-86.6010488
13.82965849,-22.83887705,-85.86423377,-20.95281977,-86.69276884
14.21492688,-23.07633249,-85.97595245,-21.19032377,-86.78203467
14.61092812,-23.31385223,-86.08467264,-21.42788947,-86.86891031
15.01796122,-23.55143284,-86.19047329,-21.66551358,-86.95345825
15.4363335,-23.78907111,-86.2934314,-21.90319303,-87.03573946
15.86636084,-24.02676398,-86.39362205,-22.14092487,-87.11581343
16.30836794,-24.26450854,-86.49111842,-22.37870633,-87.19373818
16.76268853,-24.50230207,-86.58599188,-22.61653478,-87.2695703
17.22966564,-24.74014195,-86.67831197,-22.85440771,-87.34336499
17.70965186,-24.97802572,-86.76814648,-23.09232277,-87.41517607
18.2030096,-25.21595106,-86.85556146,-23.33027773,-87.48505599
18.71011136,-25.45391575,-86.94062131,-23.56827045,-87.5530559
19.23134002,-25.69191771,-87.02338872,-23.80629894,-87.61922566
19.76708914,-25.92995495,-87.10392482,-24.04436129,-87.68361386
20.31776323,-26.16802558,-87.18228915,-24.2824557,-87.74626785
20.88377806,-26.40612785,-87.25853968,-24.52058046,-87.80723377
21.46556101,-26.64426006,-87.33273292,-24.75873396,-87.86655658
22.06355134,-26.88242061,-87.40492389,-24.99691468,-87.92428009
22.67820057,-27.12060801,-87.47516618,-25.23512115,-87.98044696
23.30997277,-27.35882081,-87.54351198,-25.47335202,-88.03509877
23.95934496,-27.59705767,-87.61001211,-25.71160597,-88.08827601
24.62680744,-27.8353173,-87.67471606,-25.94988178,-88.14001811
25.31286418,-28.07359849,-87.73767204,-26.18817829,-88.1903635
26.01803317,-28.3119001,-87.79892696,-26.42649439,-88.23934958
26.74284685,-28.55022102,-87.85852652,-26.66482904,-88.28701277
27.48785248,-28.78856024,-87.9165152,-26.90318124,-88.33338857
28.25361258,-29.02691678,-87.9729363,-27.14155007,-88.3785115
29.04070531,-29.26528971,-88.027832,-27.37993464,-88.42241521
29.84972498,-29.50367815,-88.08124332,-27.6183341,-88.46513244
30.68128242,-29.74208129,-88.13321024,-27.85674766,-88.50669508
31.53600549,-29.98049833,-88.18377165,-28.09517457,-88.54713416
32.41453955,-30.21892854,-88.2329654,-28.33361412,-88.58647992
33.31754792,-30.45737121,-88.28082835,-28.57206563,-88.62476177
34.24571241,-30.69582568,-88.32739637,-28.81052847,-88.66200835
