t,base,lag,pi,lead,lead_lag
56.996997,0.4127755649,0.284719466,0.6345088706,0.6214018874,0.6426437981
57.25725726,0.4137049479,0.2854064742,0.6305093452,0.6216475288,0.6424439016
57.51751752,0.4146493987,0.2861159333,0.626540231,0.621888228,0.6422401183
57.77777778,0.4156074304,0.2868460156,0.6226022844,0.6221240702,0.6420324114
58.03803804,0.4165775746,0.2875949107,0.6186962297,0.6223551407,0.6418207479
58.2982983,0.417558383,0.2883608272,0.6148227597,0.6225815254,0.6416050992
58.55855856,0.4185484284,0.2891419941,0.6109825361,0.6228033098,0.6413854403
58.81881882,0.4195463062,0.2899366627,0.6071761893,0.6230205798,0.6411617505
59.07907908,0.4205506351,0.2907431079,0.6034043195,0.6232334209,0.6409340129
59.33933934,0.4215600586,0.2915596298,0.5996674961,0.6234419186,0.6407022144
59.5995996,0.4225732461,0.2923845553,0.5959662589,0.6236461578,0.6404663459
59.85985986,0.4235888934,0.293216239,0.592301118,0.6238462233,0.640226402
60.12012012,0.4246057243,0.2940530649,0.5886725542,0.6240421993,0.6399823808
60.38038038,0.4256224908,0.2948934476,0.5850810192,0.6242341694,0.6397342843
60.64064064,0.4266379745,0.2957358331,0.5815269365,0.6244222166,0.6394821178
60.9009009,0.4276509871,0.2965787003,0.5780107014,0.6246064233,0.6392258903
61.16116116,0.4286603711,0.297420562,0.5745326811,0.6247868708,0.6389656139
61.42142142,0.4296650005,0.2982599658,0.5710932159,0.62496364,0.6387013041
61.68168168,0.4306637816,0.299095495,0.5676926189,0.6251368105,0.6384329797
61.94194194,0.4316556532,0.2999257694,0.5643311767,0.6253064611,0.6381606623
62.2022022,0.4326395874,0.3007494463,0.5610091497,0.6254726698,0.6378843768
62.46246246,0.4336145899,0.3015652211,0.5577267727,0.6256355131,0.6376041508
62.72272272,0.4345797005,0.3023718282,0.5544842551,0.6257950669,0.6373200146
62.98298298,0.4355339935,0.3031680413,0.5512817816,0.6259514055,0.6370320013
63.24324324,0.4364765777,0.303952674,0.5481195123,0.6261046023,0.6367401466
63.5035035,0.4374065969,0.3047245807,0.5449975834,0.6262547294,0.6364444886
63.76376376,0.4383232303,0.3054826565,0.5419161077,0.6264018578,0.6361450678
64.02402402,0.4392256922,0.306225838,0.5388751747,0.626546057,0.6358419268
64.28428428,0.4401132324,0.3069531035,0.5358748513,0.6266873955,0.6355351105
64.54454454,0.4409851362,0.3076634732,0.5329151822,0.6268259401,0.6352246656
64.8048048,0.4418407246,0.3083560095,0.5299961906,0.6269617567,0.6349106411
65.06506507,0.4426793539,0.3090298173,0.5271178781,0.6270949097,0.6345930874
65.32532533,0.4435004159,0.3096840438,0.5242802257,0.627225462,0.6342720568
65.58558559,0.4443033379,0.3103178789,0.521483194,0.6273534754,0.6339476031
65.84584585,0.4450875822,0.3109305549,0.5187267236,0.6274790102,0.6336197818
66.10610611,0.4458526464,0.3115213469,0.5160107357,0.6276021254,0.6332886495
66.36636637,0.4465980625,0.3120895721,0.5133351328,0.6277228786,0.6329542642
66.62662663,0.4473233975,0.3126345902,0.5106997985,0.627841326,0.6326166851
66.88688689,0.4480282523,0.3131558032,0.5081045986,0.6279575226,0.6322759724
67.14714715,0.4487122621,0.3136526548,0.5055493813,0.628071522,0.6319321873
67.40740741,0.4493750954,0.3141246305,0.5030339776,0.6281833763,0.6315853921
