w,base,lag,pi,lead,lead_lag
0.08448551847,-132.4498363,-137.2821026,-138.7818016,-105.6793303,-112.2456418
0.0859982082,-132.9921741,-137.7411534,-139.2136427,-106.0583111,-112.6491446
0.08753798223,-133.5365677,-138.2036377,-139.6494378,-106.4448615,-113.0613616
0.08910532547,-134.0828775,-138.6693961,-140.0890165,-106.8390037,-113.4822451
0.09070073157,-134.6309626,-139.1382679,-140.5322071,-107.240754,-113.911739
0.09232470296,-135.1806806,-139.6100912,-140.978837,-107.6501227,-114.3497791
0.09397775112,-135.7318881,-140.0847031,-141.428733,-108.0671138,-114.796293
0.09566039664,-136.2844405,-140.56194,-141.8817211,-108.4917252,-115.2512006
0.09737316946,-136.8381929,-141.0416376,-142.3376275,-108.9239482,-115.7144133
0.099116609,-137.3929999,-141.5236317,-142.7962782,-109.3637681,-116.1858347
0.1008912643,-137.9487159,-142.007758,-143.2574996,-109.8111635,-116.6653606
0.1026976944,-138.5051955,-142.4938524,-143.7211185,-110.2661069,-117.152879
0.1045364681,-139.0622936,-142.9817515,-144.1869625,-110.7285642,-117.6482702
0.1064081645,-139.6198658,-143.4712926,-144.6548603,-111.198495,-118.1514069
0.1083133731,-140.1777686,-143.9623142,-145.124642,-111.6758525,-118.6621549
0.110252694,-140.7358595,-144.454656,-145.5961391,-112.1605837,-119.1803724
0.1122267378,-141.2939976,-144.9481593,-146.0691848,-112.6526292,-119.7059111
0.1142361264,-141.8520435,-145.4426674,-146.5436144,-113.1519234,-120.2386158
0.1162814925,-142.4098597,-145.9380255,-147.0192657,-113.6583946,-120.7783252
0.1183634803,-142.9673107,-146.4340811,-147.4959785,-114.1719652,-121.3248714
0.1204827455,-143.5242636,-146.9306842,-147.9735958,-114.6925515,-121.8780812
0.1226399556,-144.0805877,-147.4276878,-148.4519632,-115.220064,-122.4377754
0.1248357899,-144.6361553,-147.9249476,-148.9309295,-115.7544075,-123.0037699
0.1270709401,-145.1908416,-148.4223225,-149.410347,-116.2954811,-123.5758754
0.1293461099,-145.744525,-148.9196748,-149.8900712,-116.8431786,-124.1538984
0.1316620161,-146.2970871,-149.4168705,-150.3699616,-117.3973886,-124.7376409
0.1340193879,-146.848413,-149.9137791,-150.8498814,-117.9579942,-125.3269013
0.1364189678,-147.3983918,-150.4102739,-151.3296979,-118.5248739,-125.9214742
0.1388615115,-147.9469159,-150.9062325,-151.8092824,-119.0979012,-126.5211513
0.1413477883,-148.4938821,-151.4015366,-152.2885106,-119.676945,-127.1257217
0.1438785812,-149.0391911,-151.8960719,-152.7672628,-120.2618698,-127.7349719
0.1464546872,-149.5827476,-152.3897288,-153.2454235,-120.8525358,-128.3486866
0.1490769177,-150.1244611,-152.8824021,-153.7228821,-121.4487992,-128.9666489
0.1517460984,-150.664245,-153.3739913,-154.1995325,-122.0505124,-129.5886407
0.1544630702,-151.2020174,-153.8644003,-154.6752735,-122.6575242,-130.2144432
0.1572286885,-151.7377009,-154.3535381,-155.1500089,-123.2696799,-130.8438371
0.1600438245,-152.2712226,-154.8413181,-155.623647,-123.8868217,-131.4766033
0.1629093647,-152.8025145,-155.3276589,-156.0961014,-124.5087889,-132.1125228
0.1658262116,-153.3315129,-155.8124837,-156.5672906,-125.135418,-132.7513776
0.1687952839,-153.8581591,-156.2957207,-157.0371379,-125.7665432,-133.3929508
0.1718175165,-154.3823989,-156.777303,-157.5055718,-126.4019964,-134.0370267
0.1748938614,-154.9041829,-157.2571685,-157.9725258,-127.0416074,-134.6833919
0.1780252874,-155.4234664,-157.7352601,-158.4379382,-127.6852046,-135.3318348
0.1812127807,-155.9402092,-158.2115255,-158.9017524,-128.3326146,-135.9821467
0.1844573452,-156.4543761,-158.6859173,-159.3639167,-128.9836632,-136.6341214
0.1877600027,-156.9659362,-159.1583927,-159.8243842,-129.6381749,-137.2875562
0.1911217934,-157.4748632,-159.628914,-160.283113,-130.2959737,-137.9422517
0.194543776,-157.9811354,-160.0974478,-160.7400657,-130.9568833,-138.5980122
0.1980270282,-158.4847357,-160.5639656,-161.19521,-131.6207272,-139.2546464
0.2015726472,-158.9856511,-161.0284435,-161.648518,-132.2873289,-139.9119669
0.2051817494,-159.4838731,-161.4908618,-162.0999664,-132.9565125,-140.5697911
0.2088554716,-159.9793974,-161.9512056,-162.5495364,-133.6281027,-141.2279411
0.2125949708,-160.4722239,-162.4094641,-162.9972138,-134.3019251,-141.8862442
0.2164014247,-160.9623565,-162.8656308,-163.4429884,-134.9778066,-142.5445326
0.2202760321,-161.4498033,-163.3197034,-163.8868545,-135.6555756,-143.2026442
0.2242200132,-161.934576,-163.7716837,-164.3288103,-136.3350621,-143.8604223
0.2282346102,-162.4166904,-164.2215772,-164.7688584,-137.0160981,-144.5177159
0.2323210875,-162.8961658,-164.6693937,-165.2070049,-137.6985179,-145.1743801
0.236480732,-163.3730251,-165.1151465,-165.64326,-138.3821583,-145.8302758
0.2407148538,-163.8472949,-165.5588525,-166.0776375,-139.0668588,-146.48527
0.2450247864,-164.319005,-166.0005324,-166.510155,-139.7524618,-147.1392359
0.2494118871,-164.7881886,-166.44021,-166.9408333,-140.4388129,-147.792053
0.2538775377,-165.2548821,-166.8779128,-167.3696969,-141.1257611,-148.4436072
0.2584231444,-165.7191248,-167.3136712,-167.7967734,-141.813159,-149.0937906
0.263050139,-166.1809592,-167.747519,-168.2220936,-142.5008631,-149.7425018
0.2677599787,-166.6404305,-168.1794929,-168.6456913,-143.1887338,-150.3896458
0.2725541467,-167.0975868,-168.6096324,-169.0676036,-143.8766356,-151.0351341
0.2774341529,-167.5524787,-169.0379799,-169.4878699,-144.5644375,-151.6788843
0.2824015344,-168.0051594,-169.4645804,-169.9065327,-145.252013,-152.3208208
0.2874578554,-168.4556847,-169.8894816,-170.3236372,-145.9392402,-152.960874
0.2926047084,-168.9041125,-170.3127337,-170.7392307,-146.6260018,-153.5989809
0.2978437144,-169.350503,-170.734389,-171.1533634,-147.3121858,-154.2350845
0.3031765233,-169.7949186,-171.1545023,-171.5660875,-147.9976849,-154.869134
0.3086048147,-170.2374237,-171.5731306,-171.9774574,-148.682397,-155.5010849
0.3141302982,-170.6780847,-171.9903327,-172.3875299,-149.3662253,-156.1308985
0.3197547139,-171.1169697,-172.4061696,-172.7963635,-150.0490783,-156.758542
0.3254798332,-171.5541486,-172.8207041,-173.2040187,-150.7308695,-157.3839885
0.3313074592,-171.989693,-173.2340007,-173.6105579,-151.4115183,-158.0072168
0.3372394272,-172.423676,-173.6461256,-174.016045,-152.0909491,-158.6282111
0.3432776054,-172.8561722,-174.0571468,-174.4205459,-152.7690919,-159.2469613
0.3494238956,-173.2872576,-174.4671334,-174.8241276,-153.4458822,-159.8634624
0.3556802333,-173.7170094,-174.8761562,-175.2268588,-154.1212609,-160.4777146
0.3620485891,-174.1455061,-175.2842873,-175.6288096,-154.7951743,-161.0897233
0.3685309685,-174.5728273,-175.6915998,-176.0300511,-155.4675743,-161.6994985
