t,u_raw,u_sat,u_rate,ref,psi,x,y
13.44,53.762937,16,-5.6291731,72,54.80661,9.1559561,31.981813
13.48,54.695,16,-5.4291731,72,54.503056,9.2256352,32.07951
13.52,55.606524,16,-5.2291731,72,54.206102,9.2958198,32.176846
13.56,56.497374,16,-5.0291731,72,53.915795,9.3664966,32.273824
13.6,57.367421,16,-4.8291731,72,53.632175,9.4376526,32.370451
13.64,58.216542,16,-4.6291731,72,53.355285,9.5092748,32.466733
13.68,59.044623,16,-4.4291731,72,53.085162,9.58135,32.562677
13.72,59.851552,16,-4.2291731,72,52.821842,9.6538655,32.658288
13.76,60.637228,16,-4.0291731,72,52.56536,9.7268082,32.753574
13.8,61.401555,16,-3.8291731,72,52.315747,9.8001654,32.848541
13.84,62.144442,16,-3.6291731,72,52.073034,9.8739241,32.943196
13.88,62.865807,16,-3.4291731,72,51.837247,9.9480718,33.037547
13.92,63.565571,16,-3.2291731,72,51.608414,10.022596,33.131601
13.96,64.243665,16,-3.0291731,72,51.386558,10.097483,33.225366
14,64.900026,16,-2.8291731,72,51.171699,10.172722,33.31885
14.04,65.534594,16,-2.6291731,72,50.963859,10.248299,33.412059
14.08,66.147319,16,-2.4291731,72,50.763054,10.324203,33.505004
14.12,66.738156,16,-2.2291731,72,50.569299,10.40042,33.597691
14.16,67.307067,16,-2.0291731,72,50.382609,10.476939,33.690129
14.2,67.854019,16,-1.8291731,72,50.202994,10.553747,33.782328
14.24,68.378986,16,-1.6291731,72,50.030464,10.630833,33.874294
14.28,68.881949,16,-1.4291731,72,49.865025,10.708184,33.966037
14.32,69.362893,16,-1.2291731,72,49.706684,10.785788,34.057566
14.36,69.821813,16,-1.0291731,72,49.555444,10.863633,34.148891
14.4,70.258706,16,-0.82917311,72,49.411305,10.941708,34.240019
14.44,70.673578,16,-0.62917311,72,49.274268,11.020001,34.330959
14.48,71.06644,16,-0.42917311,72,49.144328,11.0985,34.421723
14.52,71.437308,16,-0.22917311,72,49.021483,11.177193,34.512317
14.56,71.786207,16,-0.029173109,72,48.905725,11.256069,34.602753
14.6,72.113165,16,0.17082689,72,48.797045,11.335116,34.693039
