t,u_raw,u_sat,u_rate,ref,psi,x,y
51.32,0.34963639,0.34963639,0.34963639,72,71.876177,70.693828,119.88639
51.36,0.27529201,0.27529201,0.27529201,72,71.900197,70.731109,120.00045
51.4,0.20129765,0.20129765,0.20129765,72,71.924107,70.768342,120.11453
51.44,0.12767185,0.12767185,0.12767185,72,71.947901,70.805528,120.22862
51.48,0.054432945,0.054432945,0.054432945,72,71.971573,70.842666,120.34273
51.52,-0.018400944,-0.018400944,-0.018400944,72,71.995117,70.879758,120.45686
51.56,-0.090811907,-0.090811907,-0.090811907,72,72.018528,70.916803,120.57099
51.6,-0.16278226,-0.16278226,-0.16278226,72,72.041799,70.953802,120.68515
51.64,-0.23429454,-0.23429454,-0.23429454,72,72.064924,70.990755,120.79932
51.68,-0.3053315,-0.3053315,-0.3053315,72,72.087899,71.027662,120.9135
51.72,-0.37587616,-0.37587616,-0.37587616,72,72.110718,71.064523,121.0277
51.76,-0.44591172,-0.44591172,-0.44591172,72,72.133376,71.101339,121.14191
51.8,-0.51542167,-0.51542167,-0.51542167,72,72.155866,71.138111,121.25614
51.84,-0.58438971,-0.58438971,-0.58438971,72,72.178184,71.174838,121.37038
51.88,-0.65279979,-0.65279979,-0.65279979,72,72.200324,71.211521,121.48464
51.92,-0.72063612,-0.72063612,-0.72063612,72,72.222282,71.24816,121.59891
51.96,-0.78788313,-0.78788313,-0.78788313,72,72.244052,71.284755,121.71319
52,-0.85452554,-0.85452554,-0.85452554,72,72.265629,71.321308,121.82749
52.04,-0.9205483,-0.9205483,-0.9205483,72,72.287009,71.357818,121.9418
52.08,-0.98593662,-0.98593662,-0.98593662,72,72.308186,71.394285,122.05612
52.12,-1.050676,-1.050676,-1.050676,72,72.329157,71.430711,122.17046
52.16,-1.1147521,-1.1147521,-1.1147521,72,72.349915,71.467095,122.28481
52.2,-1.1781511,-1.1781511,-1.1781511,72,72.370458,71.503439,122.39918
52.24,-1.2408591,-1.2408591,-1.2408591,72,72.390779,71.539741,122.51355
52.28,-1.3028627,-1.3028627,-1.3028627,72,72.410876,71.576004,122.62794
52.32,-1.3641488,-1.3641488,-1.3641488,72,72.430743,71.612227,122.74235
52.36,-1.4247044,-1.4247044,-1.4247044,72,72.450376,71.648411,122.85676
52.4,-1.4845168,-1.4845168,-1.4845168,72,72.469772,71.684556,122.97119
52.44,-1.5435738,-1.5435738,-1.5435738,72,72.488926,71.720663,123.08563
52.48,-1.6018633,-1.6018633,-1.6018633,72,72.507834,71.756732,123.20008
52.52,-1.6593735,-1.6593735,-1.6593735,72,72.526493,71.792764,123.31454
52.56,-1.7160929,-1.7160929,-1.7160929,72,72.544899,71.828759,123.42901
