t,psi_ref,psi,psi_meas,x,y,cmd,delta
8.55,0.065305961,0.012005196,0.011792046,27.36,0.0014970734,0.07342459,0.043119494
8.6,0.066356348,0.012221524,0.012005196,27.52,0.0015312024,0.074598302,0.043775303
8.65,0.067423582,0.012441079,0.012221524,27.68,0.0015659444,0.075791644,0.04444231
8.7,0.068507931,0.012663911,0.012441079,27.84,0.0016013087,0.077004916,0.045120697
8.75,0.069609669,0.01289007,0.012663911,28,0.0016373046,0.078238422,0.04581065
8.8,0.070729073,0.013119609,0.01289007,28.16,0.0016739415,0.079492472,0.046512355
8.85,0.071866424,0.013352581,0.013119609,28.32,0.0017112289,0.08076738,0.047226001
8.9,0.073022008,0.013589038,0.013352581,28.48,0.0017491767,0.082063465,0.047951781
8.95,0.074196116,0.013829035,0.013589038,28.64,0.0017877946,0.083381049,0.048689891
9,0.075389042,0.014072628,0.013829035,28.8,0.0018270928,0.084720463,0.049440528
9.05,0.076601087,0.014319873,0.014072628,28.96,0.0018670814,0.086082039,0.050203893
9.1,0.077832555,0.014570828,0.014319873,29.12,0.0019077709,0.087466117,0.050980189
9.15,0.079083756,0.014825552,0.014570828,29.28,0.0019491716,0.088873039,0.051769624
9.2,0.080355002,0.015084103,0.014825552,29.44,0.0019912944,0.090303157,0.052572406
9.25,0.081646613,0.015346542,0.015084103,29.6,0.00203415,0.091756823,0.053388748
9.3,0.082958914,0.015612932,0.015346542,29.76,0.0020777495,0.093234398,0.054218865
9.35,0.084292233,0.015883335,0.015612932,29.92,0.0021221042,0.094736248,0.055062977
9.4,0.085646904,0.016157814,0.015883335,30.08,0.0021672253,0.096262744,0.055921306
9.45,0.087023267,0.016436434,0.016157814,30.24,0.0022131245,0.097814263,0.056794076
9.5,0.088421666,0.016719262,0.016436434,30.4,0.0022598135,0.099391187,0.057681516
9.55,0.089842453,0.017006365,0.016719262,30.56,0.0023073042,0.1009939,0.058583857
9.6,0.091285982,0.01729781,0.017006365,30.72,0.0023556088,0.10262281,0.059501335
9.65,0.092752614,0.017593668,0.01729781,30.88,0.0024047396,0.10427831,0.060434189
9.7,0.094242718,0.01789401,0.017593668,31.04,0.0024547091,0.1059608,0.06138266
9.75,0.095756664,0.018198906,0.01789401,31.2,0.00250553,0.1076707,0.062346994
9.8,0.097294832,0.018508431,0.018198906,31.36,0.0025572153,0.10940843,0.063327441
9.85,0.098857606,0.018822658,0.018508431,31.52,0.0026097781,0.11117441,0.064324253
9.9,0.10044538,0.019141663,0.018822658,31.68,0.0026632317,0.11296908,0.065337687
9.95,0.10205854,0.019465524,0.019141663,31.84,0.0027175897,0.11479288,0.066368003
10,0.1036975,0.019794318,0.019465524,32,0.0027728658,0.11664625,0.067415466
10.05,0.10536266,0.020128125,0.019794318,32.16,0.0028290742,0.11852964,0.068480345
10.1,0.10705444,0.020467026,0.020128125,32.32,0.0028862289,0.12044351,0.069562911
10.15,0.10877326,0.020811103,0.020467026,32.48,0.0029443444,0.12238834,0.070663441
