t,delta,psi,x,y,R,delta_needed,start_radius,obstacle_x,obstacle_y,obstacle_radius,clearance,delta_target,dist,started,collision
52.8,0,70.947112,166.57902,99.355413,140,13.650419,114.7214,145,0,25,41,0,101.67179,1,0
52.85,0,70.947112,166.64431,99.544457,140,13.650419,114.7214,145,0,25,41,0,101.87038,1,0
52.9,0,70.947112,166.7096,99.7335,140,13.650419,114.7214,145,0,25,41,0,102.06899,1,0
52.95,0,70.947112,166.77489,99.922544,140,13.650419,114.7214,145,0,25,41,0,102.26759,1,0
53,0,70.947112,166.84018,100.11159,140,13.650419,114.7214,145,0,25,41,0,102.46621,1,0
53.05,0,70.947112,166.90546,100.30063,140,13.650419,114.7214,145,0,25,41,0,102.66482,1,0
53.1,0,70.947112,166.97075,100.48967,140,13.650419,114.7214,145,0,25,41,0,102.86345,1,0
53.15,0,70.947112,167.03604,100.67872,140,13.650419,114.7214,145,0,25,41,0,103.06208,1,0
53.2,0,70.947112,167.10133,100.86776,140,13.650419,114.7214,145,0,25,41,0,103.26071,1,0
53.25,0,70.947112,167.16662,101.0568,140,13.650419,114.7214,145,0,25,41,0,103.45935,1,0
53.3,0,70.947112,167.23191,101.24585,140,13.650419,114.7214,145,0,25,41,0,103.65799,1,0
53.35,0,70.947112,167.29719,101.43489,140,13.650419,114.7214,145,0,25,41,0,103.85664,1,0
53.4,0,70.947112,167.36248,101.62394,140,13.650419,114.7214,145,0,25,41,0,104.0553,1,0
53.45,0,70.947112,167.42777,101.81298,140,13.650419,114.7214,145,0,25,41,0,104.25396,1,0
53.5,0,70.947112,167.49306,102.00202,140,13.650419,114.7214,145,0,25,41,0,104.45262,1,0
53.55,0,70.947112,167.55835,102.19107,140,13.650419,114.7214,145,0,25,41,0,104.65129,1,0
53.6,0,70.947112,167.62363,102.38011,140,13.650419,114.7214,145,0,25,41,0,104.84997,1,0
53.65,0,70.947112,167.68892,102.56915,140,13.650419,114.7214,145,0,25,41,0,105.04865,1,0
53.7,0,70.947112,167.75421,102.7582,140,13.650419,114.7214,145,0,25,41,0,105.24733,1,0
53.75,0,70.947112,167.8195,102.94724,140,13.650419,114.7214,145,0,25,41,0,105.44602,1,0
53.8,0,70.947112,167.88479,103.13628,140,13.650419,114.7214,145,0,25,41,0,105.64472,1,0
53.85,0,70.947112,167.95008,103.32533,140,13.650419,114.7214,145,0,25,41,0,105.84342,1,0
53.9,0,70.947112,168.01536,103.51437,140,13.650419,114.7214,145,0,25,41,0,106.04212,1,0
53.95,0,70.947112,168.08065,103.70341,140,13.650419,114.7214,145,0,25,41,0,106.24083,1,0
54,0,70.947112,168.14594,103.89246,140,13.650419,114.7214,145,0,25,41,0,106.43955,1,0
54.05,0,70.947112,168.21123,104.0815,140,13.650419,114.7214,145,0,25,41,0,106.63827,1,0
54.1,0,70.947112,168.27652,104.27054,140,13.650419,114.7214,145,0,25,41,0,106.83699,1,0
54.15,0,70.947112,168.3418,104.45959,140,13.650419,114.7214,145,0,25,41,0,107.03572,1,0
54.2,0,70.947112,168.40709,104.64863,140,13.650419,114.7214,145,0,25,41,0,107.23445,1,0
54.25,0,70.947112,168.47238,104.83768,140,13.650419,114.7214,145,0,25,41,0,107.43319,1,0
54.3,0,70.947112,168.53767,105.02672,140,13.650419,114.7214,145,0,25,41,0,107.63194,1,0
54.35,0,70.947112,168.60296,105.21576,140,13.650419,114.7214,145,0,25,41,0,107.83068,1,0
54.4,0,70.947112,168.66825,105.40481,140,13.650419,114.7214,145,0,25,41,0,108.02944,1,0
54.45,0,70.947112,168.73353,105.59385,140,13.650419,114.7214,145,0,25,41,0,108.22819,1,0
54.5,0,70.947112,168.79882,105.78289,140,13.650419,114.7214,145,0,25,41,0,108.42695,1,0
54.55,0,70.947112,168.86411,105.97194,140,13.650419,114.7214,145,0,25,41,0,108.62572,1,0
54.6,0,70.947112,168.9294,106.16098,140,13.650419,114.7214,145,0,25,41,0,108.82449,1,0
54.65,0,70.947112,168.99469,106.35002,140,13.650419,114.7214,145,0,25,41,0,109.02327,1,0
54.7,0,70.947112,169.05997,106.53907,140,13.650419,114.7214,145,0,25,41,0,109.22205,1,0
54.75,0,70.947112,169.12526,106.72811,140,13.650419,114.7214,145,0,25,41,0,109.42083,1,0
54.8,0,70.947112,169.19055,106.91715,140,13.650419,114.7214,145,0,25,41,0,109.61962,1,0
