idx,a
1150,10300.317932069236
1151,10405.651271611605
1152,10512.061773285506
1153,10619.560452390200
1154,10728.158436869831
1155,10837.866968465431
1156,10948.697403878512
1157,11060.661215946760
1158,11173.769994831646
1159,11288.035449218207
1160,11403.469407527076
1161,11520.083819139007
1162,11637.890755631710
1163,11756.902412029553
1164,11877.131108065931
1165,11998.589289458574
1166,12121.289529197880
1167,12245.244528848423
1168,12370.467119863864
1169,12496.970264915095
1170,12624.767059232177
1171,12753.870731959907
1172,12884.294647527253
1173,13016.052307030779
1174,13149.157349632344
1175,13283.623553970816
1176,13419.464839588525
1177,13556.695268372127
1178,13695.329046008252
1179,13835.380523454041
1180,13976.864198422687
1181,14119.794716884293
1182,14264.186874581832
1183,14410.055618562856
1184,14557.416048726742
1185,14706.283419387797
1186,14856.673140854307
1187,15008.600781023881
1188,15162.082066994815
1189,15317.132886694242
1190,15473.769290522763
1191,15632.007493015946
1192,15791.863874522796
1193,15953.354982901379
1194,16116.497535231929
1195,16281.308419547158
1196,16447.804696580588
1197,16616.003601532590
1198,16785.922545854522
1199,16957.579119051079
1200,17130.991090501244
1201,17306.176411297511
1202,17483.153216104267
1203,17661.939825035010
1204,17842.554745548787
1205,18025.016674365994
1206,18209.344499403960
1207,18395.557301731933
1208,18583.674357546461
1209,18773.715140166754
1210,18965.699322050514
1211,19159.646776830359
1212,19355.577581371061
1213,19553.512017847981
1214,19753.470575846397
1215,19955.473954482673
1216,20159.543064546946
1217,20365.699030667729
1218,20573.963193498639
1219,20784.357111927682
1220,20996.902565308726
1221,21211.621555716181
1222,21428.536310222567
1223,21647.669283199375
1224,21869.043158641456
1225,22092.680852515354
1226,22318.605515131250
1227,22546.840533539584
1228,22777.409533951970
1229,23010.336384186914
1230,23245.645196140526
1231,23483.360328282484
1232,23723.506388177731
1233,23966.108235033495
1234,24211.190982272812
1235,24458.780000134186
1236,24708.900918297797
1237,24961.579628538584
1238,25216.842287406682
1239,25474.715318934770
1240,25735.225417373593
1241,25998.399549955255
1242,26264.264959684748
1243,26532.849168160094
1244,26804.179978421238
1245,27078.285477828347
1246,27355.194040969011
1247,27634.934332595712
1248,27917.535310593063
1249,28203.026228975428
1250,28491.436640915170
1251,28782.796401802138
1252,29077.135672333847
1253,29374.484921637864
1254,29674.874930425827
1255,29978.336794179770
1256,30284.901926371036
1257,30594.602061712034
1258,30907.469259441590
1259,31223.535906643236
1260,31542.834721598079
1261,31865.398757171639
1262,32191.261404235374
1263,32520.456395123161
1264,32853.017807123404
1265,33188.980066006225
1266,33528.377949587404
1267,33871.246591328381
1268,34217.621483973177
1269,34567.538483222423
1270,34921.033811445341
1271,35278.144061428917
1272,35638.906200166180
1273,36003.357572682857
1274,36371.535905903191
1275,36743.479312555333
1276,37119.226295116598
1277,37498.815749799389
1278,37882.286970577225
1279,38269.679653252570
1280,38661.033899566013
1281,39056.390221347428
1282,39455.789544709594
1283,39859.273214285051
1284,40266.882997505490
1285,40678.661088925728
1286,41094.650114591466
1287,41514.893136451821
1288,41939.433656816873
1289,42368.315622861272
1290,42801.583431172949
1291,43239.281932349324
1292,43681.456435639964
1293,44128.152713636904
1294,44579.417007012875
1295,45035.296029307901
1296,45495.836971765319
1297,45961.087508216340
1298,46431.095800015442
1299,46905.910501025821
1300,47385.580762655889
