version,K,w,mag_db,phase_deg
A,0.200000000000,0.024083919058,-4.213771515818,-67.540359527843
A,0.200000000000,0.024363148747,-4.281320009950,-68.058020787477
A,0.200000000000,0.024645615834,-4.349609854288,-68.576857183865
A,0.200000000000,0.024931357853,-4.418642156557,-69.096838592086
A,0.200000000000,0.025220412773,-4.488417944740,-69.617935134833
A,0.200000000000,0.025512819005,-4.558938169656,-70.140117195116
A,0.200000000000,0.025808615404,-4.630203707628,-70.663355427990
A,0.200000000000,0.026107841275,-4.702215363207,-71.187620771422
A,0.200000000000,0.026410536380,-4.774973871949,-71.712884456135
A,0.200000000000,0.026716740942,-4.848479903265,-72.239118014562
A,0.200000000000,0.027026495648,-4.922734063299,-72.766293288766
A,0.200000000000,0.027339841659,-4.997736897846,-73.294382437430
A,0.200000000000,0.027656820614,-5.073488895306,-73.823357941763
A,0.200000000000,0.027977474633,-5.149990489656,-74.353192610481
A,0.200000000000,0.028301846324,-5.227242063435,-74.883859583708
A,0.200000000000,0.028629978790,-5.305243950736,-75.415332335910
A,0.200000000000,0.028961915634,-5.383996440204,-75.947584677774
A,0.200000000000,0.029297700964,-5.463499778012,-76.480590757111
A,0.200000000000,0.029637379399,-5.543754170836,-77.014325058709
A,0.200000000000,0.029980996076,-5.624759788786,-77.548762403228
A,0.200000000000,0.030328596656,-5.706516768328,-78.083877945090
A,0.200000000000,0.030680227327,-5.789025215151,-78.619647169382
A,0.200000000000,0.031035934815,-5.872285206988,-79.156045887799
A,0.200000000000,0.031395766386,-5.956296796393,-79.693050233702
A,0.200000000000,0.031759769855,-6.041060013447,-80.230636656153
A,0.200000000000,0.032127993592,-6.126574868401,-80.768781913154
A,0.200000000000,0.032500486526,-6.212841354245,-81.307463063932
A,0.200000000000,0.032877298154,-6.299859449195,-81.846657460442
A,0.200000000000,0.033258478548,-6.387629119092,-82.386342738008
A,0.200000000000,0.033644078358,-6.476150319707,-82.926496805186
A,0.200000000000,0.034034148825,-6.565422998953,-83.467097832897
A,0.200000000000,0.034428741781,-6.655447098987,-84.008124242820
A,0.200000000000,0.034827909659,-6.746222558198,-84.549554695102
A,0.200000000000,0.035231705502,-6.837749313093,-85.091368075449
A,0.200000000000,0.035640182966,-6.930027300054,-85.633543481574
A,0.200000000000,0.036053396330,-7.023056456973,-86.176060209124
A,0.200000000000,0.036471400503,-7.116836724760,-86.718897737042
A,0.200000000000,0.036894251028,-7.211368048725,-87.262035712503
A,0.200000000000,0.037322004095,-7.306650379808,-87.805453935385
A,0.200000000000,0.037754716545,-7.402683675700,-88.349132342341
A,0.200000000000,0.038192445876,-7.499467901791,-88.893050990574
A,0.200000000000,0.038635250254,-7.597003032002,-89.437190041289
A,0.200000000000,0.039083188519,-7.695289049454,-89.981529742902
A,0.200000000000,0.039536320194,-7.794325947000,-90.526050414063
A,0.200000000000,0.039994705492,-7.894113727609,-91.070732426540
A,0.200000000000,0.040458405322,-7.994652404594,-91.615556187978
A,0.200000000000,0.040927481303,-8.095942001702,-92.160502124644
A,0.200000000000,0.041401995765,-8.197982553041,-92.705550664141
A,0.200000000000,0.041882011761,-8.300774102875,-93.250682218213
A,0.200000000000,0.042367593078,-8.404316705248,-93.795877165612
A,0.200000000000,0.042858804240,-8.508610423486,-94.341115835160
A,0.200000000000,0.043355710518,-8.613655329531,-94.886378488942
A,0.200000000000,0.043858377943,-8.719451503139,-95.431645305855
A,0.200000000000,0.044366873310,-8.825999030939,-95.976896365331
A,0.200000000000,0.044881264187,-8.933298005344,-96.522111631516
